#Position (bp)	insert size
1.2915628205E9	187.0
1.2916163385E9	160.0
1.2916575315E9	193.88888888888889
1.291766658E9	116.22222222222223
1.291875052E9	170.81578947368422
1.291916283E9	157.55
1.2930415505E9	151.11548556430446
1.298020648E9	152.53208897980056
1.305770025E9	149.6459505749939
1.313519402E9	149.4544896706893
1.321268779E9	149.15246687985382
1.329018156E9	156.43250901597114
1.336767533E9	148.54322614654717
1.34451691E9	150.31284916201116
1.352266287E9	153.96791062514856
1.360015664E9	147.49332353301483
1.367765041E9	148.8105884834423
1.375514418E9	150.25115970841617
1.383263795E9	153.4336224149433
1.391013172E9	149.14450112706135
1.398762549E9	156.00868693618443
1.406511926E9	149.07562679819154
1.414261303E9	149.24979919678714
1.42201068E9	152.79402585822558
1.429760057E9	154.29124633908233
1.437509434E9	161.2253052164262
1.445258811E9	157.25124910778015
1.453008188E9	156.625
1.460757565E9	155.25520568816657
1.468506942E9	152.73850085178876
1.476256319E9	163.97807270628968
1.484005696E9	157.3335130763009
1.491755073E9	153.7000534188034
1.49950445E9	154.93219373219372
1.507253827E9	146.72559418581812
1.515003204E9	147.84294938554467
1.522752581E9	149.74913644214163
1.53037897E9	143.8799896986866
1.5342536585E9	154.27450980392157
1.538251335E9	146.16501110202174
1.546000712E9	162.34165834165833
1.553750089E9	152.37963519743437
1.561499466E9	151.4967032967033
1.569248843E9	146.85216840772395
1.57699822E9	148.18215339233038
1.584747597E9	149.51254865118776
1.592496974E9	146.74490174267706
1.59747325E9	144.62938230383972
1.6013479385E9	140.7357142857143
1.607995728E9	166.66180758017492
1.615745105E9	158.09763440860215
1.623494482E9	158.39678615574783
1.631243859E9	147.67843084023346
1.638993236E9	148.3143840330351
1.6440763725E9	143.25701331822046
1.647951061E9	0.0
1.65449199E9	158.17045454545453
1.662241367E9	149.59922928709057
1.669990744E9	146.41259674406191
1.677740121E9	144.02254509018036
1.685489498E9	143.8680171884592
1.6927337375E9	146.65934917355372
1.6961786655E9	61.0
1.696274814E9	228.125
1.6963854715E9	166.87878787878788
1.6965578825E9	173.26666666666668
1.696661813E9	125.2
1.6967741785E9	206.5
1.6969170575E9	135.75
1.697018664E9	115.0
1.6970909575E9	0.0
1.69712795E9	0.0
1.697223072E9	0.0
1.697380707E9	0.0
1.7011602735E9	156.5010814708003
1.708737629E9	146.88994502977553
1.716487006E9	151.26918697335458
1.724236383E9	155.2833285344083
1.73198576E9	151.2224734736476
1.739735137E9	147.64732257238023
1.747484514E9	143.36934689039984
1.755233891E9	153.09668803418805
1.762983268E9	152.36489520958085
1.770732645E9	156.50425950196592
1.778482022E9	167.52369942196532
1.786231399E9	157.4788961038961
1.793980776E9	150.70542635658916
1.801730153E9	156.284795042898
1.80947953E9	155.15263938944244
1.817228907E9	152.6277021617294
1.824978284E9	145.2843947496354
1.832727661E9	154.46997635933806
1.840477038E9	156.21983546617915
1.848226415E9	160.4306620209059
1.855975792E9	154.58019621263975
1.863725169E9	157.37262357414448
1.871474546E9	154.3929012345679
1.879223923E9	148.63189113747384
1.8869733E9	158.23754345307069
1.893300577E9	149.79982542915334
1.895830864E9	164.5
1.897252964E9	140.20333024976873
1.902472054E9	142.38189088831763
1.910221431E9	157.53843759726112
1.917970808E9	159.97405293201868
1.925720185E9	162.41611624834874
1.933469562E9	152.83504370961612
1.941218939E9	156.15506101938263
1.948968316E9	151.71199465419312
1.956717693E9	169.39067055393585
1.96446707E9	155.1257325519446
1.972216447E9	154.6684331797235
1.979965824E9	150.07629375951294
1.987715201E9	154.05508870214751
1.995464578E9	151.28064819163927
2.003213955E9	157.95062989445012
2.010963332E9	160.54432199329182
2.018712709E9	160.0705834353325
2.026462086E9	153.45449531163817
2.034211463E9	156.43431992018623
2.04196084E9	159.21731917717318
2.049710217E9	158.68604992657856
2.057459594E9	158.00510855683268
2.065208971E9	161.40682155215026
2.072958348E9	154.41804511278195
2.080707725E9	148.9531327084361
2.0853527655E9	154.80612244897958
2.086227972E9	176.5
2.0893323085E9	152.67421150278292
2.096206479E9	157.42962321351234
2.103955856E9	155.84974572353212
2.111705233E9	179.14565217391305
2.11945461E9	152.6475300400534
2.127203987E9	154.46768292682927
2.134953364E9	160.7204843592331
2.142702741E9	159.18307548054383
2.150452118E9	156.78844632023214
2.158201495E9	146.85915818686402
2.165950872E9	156.58513738551207
2.173700249E9	161.98997493734336
2.181449626E9	152.4566690025695
2.189199003E9	154.90082191780823
2.19694838E9	154.15531561461793
2.204697757E9	154.32477341389728
2.212447134E9	155.1273368606702
2.220196511E9	151.35173216132367
2.227945888E9	148.4074684239429
2.235695265E9	147.86209529627368
2.243444642E9	152.62207710132716
2.251194019E9	154.03832505322924
2.258943396E9	151.64182008681334
2.265344585E9	145.6479245716914
2.26791743E9	207.75
2.269265618E9	156.8586956521739
2.27444215E9	151.12796129462797
2.282191527E9	150.21087378640777
2.289940904E9	155.84031267448353
2.297690281E9	146.9499062171188
2.305439658E9	146.65840305753537
2.313189035E9	146.3249687748382
2.320938412E9	151.72626855367622
2.328687789E9	157.7043137254902
2.336437166E9	161.75796661608499
2.344186543E9	153.77625231910946
2.35193592E9	153.38271990018714
2.359685297E9	157.03630136986303
2.367434674E9	165.47205588822357
2.375184051E9	152.66829940303077
2.382933428E9	154.5300839552239
2.390682805E9	159.62958843159066
2.398432182E9	155.94200675053696
2.406181559E9	150.93413379073758
2.413930936E9	155.4891323872822
2.421680313E9	153.38325281803543
2.42942969E9	151.76829471578597
2.436037066E9	151.54960091220067
2.4399117545E9	141.8276155372838
2.444928444E9	146.6671074777591
2.452677821E9	162.3047493403694
2.460427198E9	148.03384841795437
2.468176575E9	152.07091827844573
2.475925952E9	152.04726368159203
2.483675329E9	143.1557000158554
2.491424706E9	155.752417794971
2.499174083E9	153.7412398921833
2.50692346E9	144.82034435885816
2.514672837E9	140.7802731809824
2.522422214E9	163.27045454545456
2.530171591E9	149.9744238336144
2.537920968E9	145.06925831202045
2.545670345E9	152.4349376114082
2.553419722E9	159.79077029840388
2.561169099E9	151.30796884361894
2.568918476E9	151.07230895645029
2.576667853E9	148.50354153251772
2.58441723E9	146.90121438580104
2.592166607E9	144.85399410360802
2.597078511E9	146.80989081567117
2.6009531995E9	148.90826284970723
2.607665361E9	145.96371398078975
2.615414738E9	149.22770154373927
2.623164115E9	148.69231727057652
2.630913492E9	157.46442185514613
2.638662869E9	150.56145915939732
2.646412246E9	158.1227604512276
2.654161623E9	159.41557591623035
2.661911E9	156.02239964515414
2.669660377E9	153.74169884169885
2.677409754E9	158.66804979253112
2.685159131E9	153.25761772853187
2.692908508E9	154.56421211359637
2.700657885E9	149.74313595765796
2.708407262E9	162.55993150684932
2.716156639E9	162.0296486090776
2.723906016E9	153.00150753768844
2.731655393E9	154.29037037037037
