#Position (bp)	mapping quality
1.59747325E9	59.0722173547195
1.6013479385E9	37.83253194120071
1.607995728E9	37.33155444532758
1.615745105E9	58.71099870458331
1.623494482E9	58.86141845401618
1.631243859E9	59.40048472468315
1.638993236E9	59.1886391495114
1.6440763725E9	59.08364744809531
1.647951061E9	0.0
1.65449199E9	36.875821952453215
1.662241367E9	58.22863131197492
1.669990744E9	58.676786468410924
1.677740121E9	59.281606295259344
1.685489498E9	59.18460129581721
1.6927337375E9	59.00374370624261
1.6961786655E9	0.0
1.696274814E9	37.63703703703704
1.6963854715E9	28.815019916448072
1.6965578825E9	36.10793650793651
1.696661813E9	46.90555555555556
1.6967741785E9	60.0
1.6969170575E9	0.0
1.697018664E9	52.5
1.6970909575E9	0.0
1.69712795E9	0.0
1.697223072E9	0.0
1.697380707E9	0.0
1.7011602735E9	59.36946594601069
1.708737629E9	59.40643015258591
1.716487006E9	59.34759260594697
1.724236383E9	59.18774550172703
1.73198576E9	59.290744076883875
1.739735137E9	59.36671123695663
1.747484514E9	59.483248114353515
1.755233891E9	59.19979640685614
1.762983268E9	59.31646832042036
1.770732645E9	58.25482944567261
1.778482022E9	58.742738289891314
1.786231399E9	58.87955267006742
1.793980776E9	59.17750434893292
1.801730153E9	59.29013922437096
1.80947953E9	59.49291039636351
1.817228907E9	59.397849418602284
1.824978284E9	58.26671763938215
1.832727661E9	59.35562057002074
1.840477038E9	59.275173469720166
1.848226415E9	59.391179803727724
1.855975792E9	59.395535112983424
1.863725169E9	59.508096404763265
1.871474546E9	59.315607405594136
1.879223923E9	59.332192581035955
1.8869733E9	59.350111187344595
1.893300577E9	58.29883952175673
1.895830864E9	24.0
1.897252964E9	59.31128048665222
1.902472054E9	58.43021996684676
1.910221431E9	59.380715394549746
1.917970808E9	58.906162333531476
1.925720185E9	59.49438431138213
1.933469562E9	59.12297130515273
1.941218939E9	59.19554959628376
1.948968316E9	59.21005777699963
1.956717693E9	58.91878025450013
1.96446707E9	58.93897939367785
1.972216447E9	59.305255212755924
1.979965824E9	59.410628000221436
1.987715201E9	59.30291424460991
1.995464578E9	59.37688733478397
2.003213955E9	59.3475896343628
2.010963332E9	59.13666291001839
2.018712709E9	58.90940913278063
2.026462086E9	59.04086603838286
2.034211463E9	59.521354508993845
2.04196084E9	59.22804853259689
2.049710217E9	59.46223265048281
2.057459594E9	59.06984061345391
2.065208971E9	59.27557964468534
2.072958348E9	59.45257708428435
2.080707725E9	59.2342830138405
2.0853527655E9	54.78783175539345
2.086227972E9	35.2962962962963
2.0893323085E9	58.81794662519057
2.096206479E9	59.314763438657906
2.103955856E9	58.65923868805363
2.111705233E9	58.5222293338585
2.11945461E9	58.68212102102925
2.127203987E9	59.32041615205878
2.134953364E9	56.2796157059315
2.142702741E9	59.547753384088715
2.150452118E9	59.22003376477209
2.158201495E9	58.92481033502578
2.165950872E9	59.24372804440232
2.173700249E9	59.26755130997822
2.181449626E9	59.49414927112606
2.189199003E9	59.089383702485165
2.19694838E9	59.53353878171776
2.204697757E9	59.142278706174224
2.212447134E9	59.25640008812514
2.220196511E9	59.31411360422643
2.227945888E9	59.46124869070776
2.235695265E9	59.55859246469097
2.243444642E9	59.38990873307669
2.251194019E9	59.03457548981944
2.258943396E9	59.097362954706654
2.265344585E9	59.06373051584363
2.26791743E9	48.75
2.269265618E9	59.51569581723613
2.27444215E9	59.44174618752306
2.282191527E9	59.4984108957919
2.289940904E9	59.21235211891855
2.297690281E9	58.98199972690015
2.305439658E9	59.501600707658405
2.313189035E9	59.51661836960257
2.320938412E9	59.09220203216776
2.328687789E9	57.40363890151269
2.336437166E9	59.17508970576509
2.344186543E9	59.04930978359154
